accuracy_1,0.2078651636838913,0.2490636706352234,0.32022473216056824,0.3651685416698456,0.43632957339286804,0.4981273412704468,0.5898876190185547,0.5786516666412354,0.6104868650436401,0.6853932738304138,0.7434456944465637,0.7528089880943298,0.7865168452262878,0.7453183531761169,0.7546816468238831,0.7846441864967346,0.8220973610877991,0.8707864880561829,0.86329585313797,0.8558052182197571,0.9044944047927856,0.9063670635223389,0.9176030158996582,0.9082397222518921,0.9438202381134033,0.898876428604126,0.9232209920883179,0.9550561904907227,0.9531835317611694,0.9438202381134033,0.9363296031951904,0.9456928968429565,0.949438214302063,0.9138576984405518,0.9194756746292114,0.9101123809814453,0.9382022619247437,0.9681648015975952,0.9382022619247437,0.9475655555725098,0.949438214302063,0.9513108730316162,0.9644194841384888,0.9906367063522339,0.9906367063522339,0.9962546825408936,0.9962546825408936,0.9925093650817871,0.983146071434021,0.9850187301635742,0.9887640476226807,0.9962546825408936,1.0,0.9962546825408936,0.9868913888931274,0.9756554365158081,0.9925093650817871,0.9812734127044678,0.9925093650817871,0.9906367063522339,1.0,1.0,1.0,0.9981273412704468,0.9962546825408936,
accuracy_2,0.22846442461013794,0.2659175992012024,0.318352073431015,0.37827715277671814,0.42883893847465515,0.5187265872955322,0.5468164682388306,0.6217228174209595,0.6891385912895203,0.737827718257904,0.7921348214149475,0.7659175992012024,0.7715355753898621,0.779026210308075,0.8071160912513733,0.8876404762268066,0.9119850397109985,0.898876428604126,0.8558052182197571,0.9082397222518921,0.915730357170105,0.9250936508178711,0.9382022619247437,0.9569288492202759,0.9513108730316162,0.9775280952453613,0.9307116270065308,0.9625468254089355,0.9700374603271484,0.966292142868042,0.8520599007606506,0.9513108730316162,0.9737827777862549,0.9887640476226807,0.9812734127044678,0.9850187301635742,0.9737827777862549,0.9794007539749146,0.966292142868042,0.9569288492202759,0.9363296031951904,0.932584285736084,0.9606741666793823,0.9868913888931274,0.9887640476226807,0.9925093650817871,0.9906367063522339,0.9925093650817871,0.9868913888931274,0.9943820238113403,0.9906367063522339,0.9981273412704468,0.9943820238113403,0.9906367063522339,0.9962546825408936,0.9850187301635742,0.9681648015975952,0.9737827777862549,0.9026217460632324,0.915730357170105,0.9363296031951904,0.9737827777862549,0.9868913888931274,0.9906367063522339,0.9962546825408936,
accuracy_3,0.2078651636838913,0.28838950395584106,0.31460675597190857,0.2752808928489685,0.35393258929252625,0.4157303273677826,0.4588015079498291,0.47940075397491455,0.6104868650436401,0.653558075428009,0.6573033928871155,0.670412003993988,0.7247191071510315,0.7715355753898621,0.7696629166603088,0.8352059721946716,0.8352059721946716,0.8220973610877991,0.86329585313797,0.9044944047927856,0.9438202381134033,0.9531835317611694,0.9550561904907227,0.9288389682769775,0.9550561904907227,0.9176030158996582,0.9438202381134033,0.949438214302063,0.9307116270065308,0.9063670635223389,0.949438214302063,0.966292142868042,0.9550561904907227,0.949438214302063,0.9756554365158081,0.9925093650817871,0.9906367063522339,0.9868913888931274,0.9719101190567017,0.9812734127044678,0.9700374603271484,0.949438214302063,0.9531835317611694,0.9737827777862549,0.983146071434021,0.9850187301635742,0.9812734127044678,0.983146071434021,0.9906367063522339,0.9925093650817871,0.9906367063522339,0.9850187301635742,0.9850187301635742,0.9906367063522339,0.983146071434021,0.9887640476226807,0.9887640476226807,0.9794007539749146,0.9456928968429565,0.9625468254089355,0.9850187301635742,0.9906367063522339,0.9962546825408936,0.9943820238113403,0.9906367063522339,
accuracy_4,0.24112150073051453,0.29906541109085083,0.3420560657978058,0.3813084065914154,0.3869158923625946,0.4691588878631592,0.5196261405944824,0.6037383079528809,0.5757009387016296,0.6056074500083923,0.6317756772041321,0.6897196173667908,0.7626168131828308,0.7644859552383423,0.8130841255187988,0.84112149477005,0.8205607533454895,0.8915888071060181,0.9009345769882202,0.8934579491615295,0.9084112048149109,0.9345794320106506,0.9308411478996277,0.9514018893241882,0.9644860029220581,0.9551401734352112,0.8803738355636597,0.8971962332725525,0.9551401734352112,0.968224287033081,0.9738317728042603,0.9757009148597717,0.9869158864021301,0.9794392585754395,0.968224287033081,0.9813084006309509,0.9588785171508789,0.9700934290885925,0.9794392585754395,0.9551401734352112,0.949532687664032,0.9551401734352112,0.9626168012619019,0.9850467443466187,0.9887850284576416,0.9962616562843323,0.9906542301177979,0.9831775426864624,0.9850467443466187,0.9831775426864624,0.9925233721733093,0.9869158864021301,0.9869158864021301,0.977570116519928,0.9943925142288208,0.9981308579444885,0.9943925142288208,0.9981308579444885,0.9887850284576416,0.9925233721733093,0.9850467443466187,0.9831775426864624,0.977570116519928,0.9813084006309509,0.9943925142288208,
accuracy_5,0.18691588938236237,0.29719626903533936,0.30280372500419617,0.3345794379711151,0.3345794379711151,0.3757009208202362,0.46542057394981384,0.48224300146102905,0.5289719700813293,0.6000000238418579,0.6186915636062622,0.6093457937240601,0.6579439043998718,0.7009345889091492,0.7401869297027588,0.8074766397476196,0.8485981225967407,0.8691588640213013,0.8822429776191711,0.8766354918479919,0.8934579491615295,0.9214953184127808,0.92710280418396,0.9401869177818298,0.9383177757263184,0.9551401734352112,0.9719626307487488,0.9308411478996277,0.9364485740661621,0.9420560598373413,0.9738317728042603,0.9644860029220581,0.9738317728042603,0.9233644604682922,0.9551401734352112,0.9626168012619019,0.9850467443466187,0.9850467443466187,0.9962616562843323,0.9962616562843323,0.9906542301177979,0.9887850284576416,0.977570116519928,0.9626168012619019,0.9252336621284485,0.9327102899551392,0.9813084006309509,0.9738317728042603,0.9850467443466187,0.9906542301177979,0.977570116519928,0.9831775426864624,0.9850467443466187,0.9831775426864624,0.9850467443466187,0.9794392585754395,0.9906542301177979,0.9981308579444885,0.9981308579444885,0.9962616562843323,0.9962616562843323,1.0,0.9906542301177979,0.9981308579444885,0.9925233721733093,
average,0.21444642841815947,0.2799264907836914,0.31960867047309877,0.34692288637161256,0.3881192862987518,0.4554888129234314,0.5161104619503021,0.5531513094902039,0.6029570460319519,0.6564773082733154,0.6886702299118042,0.6976408004760742,0.7406664490699768,0.7522601366043091,0.7769463419914245,0.8312177538871766,0.8476894497871399,0.8705015897750854,0.8731148958206176,0.8877265572547912,0.9131828308105469,0.9281437993049622,0.9337610840797425,0.9371192693710327,0.9505982160568237,0.9408575773239136,0.9300178647041321,0.9390157222747803,0.9491042733192444,0.9453519582748413,0.937098252773285,0.960696566104889,0.9678049683570862,0.9509727358818054,0.9599537968635559,0.9663131356239318,0.969309401512146,0.9779194235801697,0.9704210877418518,0.9674339294433594,0.9591984391212464,0.9554517149925232,0.963692820072174,0.9797948837280274,0.9753131031990051,0.9805509448051453,0.9880254864692688,0.9850348234176636,0.986153531074524,0.9891483783721924,0.9880261898040772,0.9898988366127014,0.9902726769447326,0.9876551508903504,0.9891462802886963,0.9854016661643982,0.9868969917297363,0.9861437320709229,0.9655479788780212,0.9715397834777832,0.9805313467979431,0.9895194053649903,0.9902740836143493,0.992517066001892,0.9940123915672302,
std,0.01872228816525526,0.0194161212100846,0.012753583542539144,0.03945451536685011,0.04004751084182649,0.052821919798401104,0.049501653866763445,0.060627546403536466,0.05245444107394779,0.05145866365503518,0.0675620537588266,0.057105885662139255,0.04611793009905763,0.02799977173669585,0.028692063348407473,0.03472823417629476,0.03370906986955203,0.026812891107180426,0.016429903679822305,0.019374122535443142,0.01692612616146911,0.015466980927861506,0.012547091324164938,0.017369022893167926,0.009055409871936109,0.028481234042265508,0.029869975972720487,0.02338944677403907,0.014069306450020008,0.02233681215236088,0.044906769586472065,0.010807424466994373,0.013690527802418088,0.029599404687986376,0.022050477841289034,0.029776458444958593,0.018968323428230474,0.0076143028890146985,0.019007264531452815,0.018323834529406818,0.01907156818034236,0.018370818861462884,0.00792240648987172,0.010263717439585554,0.025165608671243622,0.024269845537434418,0.005867847522162844,0.006989460136435699,0.0025352736318801036,0.004328042024691058,0.005361495038559776,0.006099086641816319,0.005961374280110509,0.0065343428748940715,0.005214318547604818,0.007797741583894368,0.009551746199893268,0.010093198983271675,0.03655805215362147,0.030370182128196525,0.022894500020990895,0.0100875642162814,0.0077889527914612134,0.006255203402041173,0.00218232262899949,

val_accuracy_1,0.2537313401699066,0.33582088351249695,0.29104477167129517,0.35820895433425903,0.41044774651527405,0.5597015023231506,0.6194030046463013,0.5,0.7313432693481445,0.6865671873092651,0.7089552283287048,0.7089552283287048,0.7686567306518555,0.746268630027771,0.746268630027771,0.7761194109916687,0.8059701323509216,0.7686567306518555,0.7910447716712952,0.8208954930305481,0.89552241563797,0.89552241563797,0.7985074520111084,0.8805969953536987,0.8432835936546326,0.8134328126907349,0.8731343150138855,0.9029850959777832,0.8432835936546326,0.888059675693512,0.8134328126907349,0.8283582329750061,0.9104477763175964,0.8059701323509216,0.8358209133148193,0.8283582329750061,0.888059675693512,0.8507462739944458,0.888059675693512,0.7611940503120422,0.8656716346740723,0.9104477763175964,0.9029850959777832,0.9029850959777832,0.9179104566574097,0.9328358173370361,0.9253731369972229,0.9179104566574097,0.8507462739944458,0.9253731369972229,0.9179104566574097,0.9253731369972229,0.9328358173370361,0.9328358173370361,0.9104477763175964,0.9402984976768494,0.9104477763175964,0.9328358173370361,0.9029850959777832,0.9179104566574097,0.9104477763175964,0.9477611780166626,0.9328358173370361,0.9253731369972229,0.9477611780166626,
val_accuracy_2,0.2537313401699066,0.3283582031726837,0.3805970251560211,0.41791045665740967,0.5373134613037109,0.611940324306488,0.6194030046463013,0.7164179086685181,0.7014925479888916,0.7238805890083313,0.7014925479888916,0.7611940503120422,0.6791045069694519,0.7611940503120422,0.8059701323509216,0.858208954334259,0.9104477763175964,0.858208954334259,0.8432835936546326,0.9029850959777832,0.8805969953536987,0.8283582329750061,0.9253731369972229,0.9029850959777832,0.9328358173370361,0.7835820913314819,0.9253731369972229,0.9253731369972229,0.9328358173370361,0.6940298676490784,0.9402984976768494,0.9477611780166626,0.9552238583564758,0.9402984976768494,0.9253731369972229,0.9253731369972229,0.9477611780166626,0.89552241563797,0.8805969953536987,0.8134328126907349,0.7686567306518555,0.8358209133148193,0.9253731369972229,0.9477611780166626,0.9552238583564758,0.9626865386962891,0.9552238583564758,0.9402984976768494,0.9328358173370361,0.9477611780166626,0.9552238583564758,0.9552238583564758,0.9477611780166626,0.9552238583564758,0.9402984976768494,0.9104477763175964,0.9552238583564758,0.9179104566574097,0.8656716346740723,0.8656716346740723,0.89552241563797,0.9253731369972229,0.9402984976768494,0.9328358173370361,0.9626865386962891,
