accuracy_1,0.3820224702358246,0.5543071031570435,0.6516854166984558,0.7134831547737122,0.7097378373146057,0.7340824007987976,0.7771535515785217,0.7902621626853943,0.8146067261695862,0.8539325594902039,0.8595505356788635,0.8689138293266296,0.8857678174972534,0.9232209920883179,0.9176030158996582,0.9101123809814453,0.9307116270065308,0.9419475793838501,0.9363296031951904,0.9550561904907227,0.9569288492202759,0.9719101190567017,0.9644194841384888,0.9644194841384888,0.9775280952453613,0.9737827777862549,0.9794007539749146,0.9775280952453613,0.9812734127044678,0.9700374603271484,0.983146071434021,0.9850187301635742,0.9719101190567017,0.983146071434021,0.9887640476226807,0.9906367063522339,0.9887640476226807,0.9887640476226807,0.9925093650817871,0.9850187301635742,0.9887640476226807,0.9943820238113403,0.9887640476226807,0.9775280952453613,0.9906367063522339,0.9906367063522339,0.9925093650817871,0.9925093650817871,0.9850187301635742,0.9850187301635742,0.9906367063522339,0.9943820238113403,0.9887640476226807,0.9962546825408936,0.9962546825408936,0.9981273412704468,0.9981273412704468,0.9962546825408936,1.0,0.9981273412704468,0.9906367063522339,0.9962546825408936,0.9981273412704468,0.9943820238113403,0.9962546825408936,0.9906367063522339,0.9981273412704468,0.9962546825408936,0.9906367063522339,0.9850187301635742,
accuracy_2,0.39700374007225037,0.5861423015594482,0.6853932738304138,0.7247191071510315,0.7134831547737122,0.7546816468238831,0.7602996230125427,0.8108614087104797,0.8333333134651184,0.8333333134651184,0.8408239483833313,0.8782771825790405,0.8970037698745728,0.9082397222518921,0.9101123809814453,0.9250936508178711,0.9382022619247437,0.9400749206542969,0.9531835317611694,0.9550561904907227,0.966292142868042,0.9588015079498291,0.9681648015975952,0.9700374603271484,0.966292142868042,0.9794007539749146,0.9737827777862549,0.983146071434021,0.9756554365158081,0.9868913888931274,0.9794007539749146,0.9906367063522339,0.9887640476226807,0.9737827777862549,0.9925093650817871,0.9850187301635742,0.9719101190567017,0.9850187301635742,0.9962546825408936,0.9906367063522339,0.9868913888931274,0.9962546825408936,0.9962546825408936,0.9887640476226807,0.9943820238113403,0.9925093650817871,0.9925093650817871,0.9943820238113403,0.9943820238113403,0.9868913888931274,0.9943820238113403,0.9925093650817871,0.9962546825408936,0.9925093650817871,0.9962546825408936,0.9887640476226807,0.9943820238113403,0.9906367063522339,0.9925093650817871,0.9962546825408936,0.9981273412704468,0.9925093650817871,0.9925093650817871,1.0,0.9850187301635742,0.9868913888931274,0.9925093650817871,0.9981273412704468,0.9868913888931274,0.9906367063522339,
accuracy_3,0.36142322421073914,0.567415714263916,0.6460674405097961,0.6910112500190735,0.7584269642829895,0.7827715277671814,0.8146067261695862,0.8333333134651184,0.8895131349563599,0.8838951587677002,0.8745318055152893,0.9044944047927856,0.9026217460632324,0.9232209920883179,0.9101123809814453,0.9531835317611694,0.9625468254089355,0.9531835317611694,0.9400749206542969,0.966292142868042,0.9438202381134033,0.9588015079498291,0.9606741666793823,0.9681648015975952,0.9794007539749146,0.9700374603271484,0.9700374603271484,0.9868913888931274,0.9812734127044678,0.9794007539749146,0.9756554365158081,0.9868913888931274,0.9868913888931274,0.9943820238113403,0.983146071434021,0.9906367063522339,0.9887640476226807,0.9906367063522339,0.9794007539749146,0.9850187301635742,0.9962546825408936,0.9850187301635742,0.9962546825408936,0.9850187301635742,0.9887640476226807,0.9962546825408936,0.9887640476226807,0.9943820238113403,0.9943820238113403,0.9925093650817871,0.9906367063522339,0.9962546825408936,0.9943820238113403,0.9925093650817871,0.9943820238113403,0.9887640476226807,0.9925093650817871,0.9962546825408936,0.9943820238113403,0.9925093650817871,0.9906367063522339,0.9943820238113403,0.9943820238113403,0.9868913888931274,0.9943820238113403,0.9943820238113403,0.9962546825408936,0.9925093650817871,0.9962546825408936,0.9962546825408936,
accuracy_4,0.3177570104598999,0.47663551568984985,0.5757009387016296,0.6280373930931091,0.6616822481155396,0.7364485859870911,0.745794415473938,0.7551401853561401,0.7794392704963684,0.8018691539764404,0.8074766397476196,0.8579439520835876,0.8616822361946106,0.872897207736969,0.8691588640213013,0.8915888071060181,0.9028037190437317,0.9401869177818298,0.9233644604682922,0.9401869177818298,0.9140186905860901,0.9345794320106506,0.9588785171508789,0.945794403553009,0.949532687664032,0.9551401734352112,0.9514018893241882,0.9700934290885925,0.968224287033081,0.9626168012619019,0.9700934290885925,0.977570116519928,0.9850467443466187,0.9663551449775696,0.9738317728042603,0.9738317728042603,0.968224287033081,0.9738317728042603,0.9700934290885925,0.9719626307487488,0.9757009148597717,0.9794392585754395,0.9831775426864624,0.9887850284576416,0.9813084006309509,0.9663551449775696,0.9813084006309509,0.977570116519928,0.9831775426864624,0.9738317728042603,0.977570116519928,0.9906542301177979,0.9906542301177979,0.9906542301177979,0.9869158864021301,0.9887850284576416,0.9831775426864624,0.9887850284576416,0.9943925142288208,0.9869158864021301,0.9831775426864624,0.9887850284576416,0.9850467443466187,0.9925233721733093,0.9887850284576416,0.9962616562843323,0.9962616562843323,0.9943925142288208,0.9887850284576416,0.9831775426864624,
accuracy_5,0.3252336382865906,0.514018714427948,0.6261682510375977,0.6934579610824585,0.7420560717582703,0.7570093274116516,0.7700934410095215,0.8168224096298218,0.8429906368255615,0.8392523527145386,0.8766354918479919,0.8785046935081482,0.8897196054458618,0.9046729207038879,0.9009345769882202,0.9065420627593994,0.9364485740661621,0.9233644604682922,0.9289719462394714,0.945794403553009,0.9289719462394714,0.9383177757263184,0.9476635456085205,0.9626168012619019,0.9570093750953674,0.9532710313796997,0.9588785171508789,0.9476635456085205,0.9551401734352112,0.9700934290885925,0.9644860029220581,0.9757009148597717,0.9850467443466187,0.9700934290885925,0.977570116519928,0.9738317728042603,0.9644860029220581,0.9738317728042603,0.9887850284576416,0.9757009148597717,0.977570116519928,0.9813084006309509,0.9850467443466187,0.9738317728042603,0.9813084006309509,0.9813084006309509,0.9869158864021301,0.977570116519928,0.9887850284576416,0.9869158864021301,0.9869158864021301,0.9887850284576416,0.9869158864021301,0.9887850284576416,0.9887850284576416,0.9887850284576416,0.9943925142288208,0.9887850284576416,0.9906542301177979,0.9869158864021301,0.9887850284576416,0.9943925142288208,0.977570116519928,0.9869158864021301,0.9850467443466187,0.9943925142288208,0.9925233721733093,0.9887850284576416,0.9869158864021301,0.9925233721733093,
average,0.35668801665306094,0.5397038698196411,0.6370030641555786,0.6901417732238769,0.7170772552490234,0.752998697757721,0.773589551448822,0.8012838959693909,0.8319766163825989,0.8424565076828003,0.8518036842346192,0.8776268124580383,0.8873590350151062,0.9064503669738769,0.901584243774414,0.9173040866851807,0.9341426014900207,0.9397514820098877,0.9363848924636841,0.9524771690368652,0.9420063734054566,0.9524820685386658,0.9599601030349731,0.9622065901756287,0.9659526109695434,0.9663264393806458,0.966700279712677,0.9730645060539246,0.9723133444786072,0.9738079667091369,0.9745563387870788,0.983163571357727,0.9835318088531494,0.9775518894195556,0.9831642746925354,0.9827911376953125,0.9764297008514404,0.9824166059494018,0.9854086518287659,0.9816675424575806,0.9850362300872803,0.9872806191444397,0.9898995399475098,0.9827855348587036,0.9872799158096314,0.985412859916687,0.9884014129638672,0.9872827291488647,0.9891490697860718,0.9850334286689758,0.9880282878875732,0.992517066001892,0.9913941740989685,0.9921425342559814,0.9925184607505798,0.9906450986862183,0.9925177574157715,0.9921432256698608,0.9943876266479492,0.9921446323394776,0.9902726650238037,0.9932647228240967,0.9895271182060241,0.9921425342559814,0.9898974418640136,0.9925128579139709,0.9951352834701538,0.994013786315918,0.9898967385292053,0.9895222067832947,
std,0.030966483317926494,0.0394336739069522,0.036096234007807565,0.03349363891070254,0.03307304382894835,0.01753323338583632,0.023050055483255123,0.026874002130831017,0.036042991112453446,0.026794380498535997,0.025607191747288857,0.015403845246346384,0.014095201471876076,0.018410232675277048,0.017052194157415993,0.020865422507492706,0.019091859143057315,0.009529653677544951,0.010200951605290939,0.00894277178171434,0.01880944267731121,0.013988933922227395,0.006929476138711659,0.008616819056248946,0.011528703462946249,0.01035260918674523,0.010176652867749283,0.013905253452670477,0.009832328502321538,0.008434594212209894,0.006630069512253112,0.005659751998935046,0.005971881335224407,0.010097031397083804,0.006885908796461109,0.007597479869109626,0.010340982316052934,0.007239196600647638,0.00948796410462751,0.006821917255697449,0.007564163872149885,0.006829849682011188,0.0054918100824005904,0.006075100423827757,0.0052005502614967765,0.010726016592231711,0.004156913716269483,0.007959740959908028,0.0046393745925177535,0.006137794371231695,0.005737393822675674,0.0026399305328199114,0.0034661774706422647,0.0024765616334041928,0.003917114494883239,0.0037411330584994954,0.005013926903041723,0.0034244045523688215,0.003129373933722289,0.004636764323077586,0.004785704016171736,0.002533707204570002,0.007341272108615866,0.004935432996531367,0.0046710714426993665,0.0033526478153954385,0.002244625041352498,0.0032152628843452524,0.003467694033696118,0.004818950030453633,

val_accuracy_1,0.5746268630027771,0.6268656849861145,0.6716417670249939,0.7313432693481445,0.6865671873092651,0.7611940503120422,0.746268630027771,0.7686567306518555,0.7835820913314819,0.8134328126907349,0.8208954930305481,0.8507462739944458,0.8507462739944458,0.8507462739944458,0.8656716346740723,0.8432835936546326,0.8507462739944458,0.8358209133148193,0.8358209133148193,0.8731343150138855,0.8432835936546326,0.9029850959777832,0.888059675693512,0.888059675693512,0.89552241563797,0.888059675693512,0.8656716346740723,0.888059675693512,0.89552241563797,0.8805969953536987,0.8731343150138855,0.888059675693512,0.8805969953536987,0.8805969953536987,0.8805969953536987,0.8656716346740723,0.9029850959777832,0.888059675693512,0.888059675693512,0.888059675693512,0.8805969953536987,0.8805969953536987,0.8805969953536987,0.8731343150138855,0.888059675693512,0.8805969953536987,0.8731343150138855,0.8656716346740723,0.89552241563797,0.888059675693512,0.89552241563797,0.888059675693512,0.888059675693512,0.89552241563797,0.89552241563797,0.9104477763175964,0.8731343150138855,0.89552241563797,0.89552241563797,0.89552241563797,0.89552241563797,0.8656716346740723,0.8731343150138855,0.8656716346740723,0.888059675693512,0.9029850959777832,0.89552241563797,0.9104477763175964,0.8805969953536987,0.89552241563797,
val_accuracy_2,0.5597015023231506,0.7313432693481445,0.7313432693481445,0.7761194109916687,0.7611940503120422,0.753731369972229,0.8134328126907349,0.7985074520111084,0.8059701323509216,0.8208954930305481,0.8507462739944458,0.8208954930305481,0.8208954930305481,0.8507462739944458,0.8432835936546326,0.8507462739944458,0.8358209133148193,0.8656716346740723,0.858208954334259,0.8656716346740723,0.8656716346740723,0.858208954334259,0.8656716346740723,0.8656716346740723,0.8656716346740723,0.8656716346740723,0.8731343150138855,0.8507462739944458,0.8656716346740723,0.858208954334259,0.858208954334259,0.8507462739944458,0.8805969953536987,0.8656716346740723,0.8805969953536987,0.8358209133148193,0.89552241563797,0.858208954334259,0.8731343150138855,0.8731343150138855,0.89552241563797,0.8656716346740723,0.858208954334259,0.9029850959777832,0.8432835936546326,0.858208954334259,0.8656716346740723,0.858208954334259,0.8656716346740723,0.8507462739944458,0.8805969953536987,0.858208954334259,0.8432835936546326,0.8432835936546326,0.888059675693512,0.8731343150138855,0.8731343150138855,0.8656716346740723,0.888059675693512,0.8805969953536987,0.8805969953536987,0.8805969953536987,0.8656716346740723,0.8731343150138855,0.8656716346740723,0.888059675693512,0.8805969953536987,0.8507462739944458,0.8358209133148193,0.888059675693512,
