accuracy_1,0.3362068831920624,0.5431034564971924,0.7155172228813171,0.732758641242981,0.8103448152542114,0.8706896305084229,0.8620689511299133,0.8965517282485962,0.8965517282485962,0.9137930870056152,0.9396551847457886,0.9568965435028076,0.9568965435028076,0.9568965435028076,0.9482758641242981,0.9655172228813171,0.9741379022598267,0.982758641242981,0.9913793206214905,0.982758641242981,
accuracy_2,0.3076923191547394,0.5811966061592102,0.632478654384613,0.7435897588729858,0.7094017267227173,0.8376068472862244,0.8461538553237915,0.8888888955116272,0.9059829115867615,0.8888888955116272,0.9230769276618958,0.8888888955116272,0.9230769276618958,0.94017094373703,0.9572649598121643,0.9658119678497314,0.9743589758872986,0.9914529919624329,0.9572649598121643,0.9829059839248657,
accuracy_3,0.23931623995304108,0.6666666865348816,0.6752136945724487,0.7692307829856873,0.8974359035491943,0.8376068472862244,0.9059829115867615,0.9230769276618958,0.9145299196243286,0.9230769276618958,0.94017094373703,0.9658119678497314,0.94017094373703,0.9658119678497314,0.9829059839248657,0.9829059839248657,0.9829059839248657,0.9743589758872986,0.9658119678497314,0.9743589758872986,
accuracy_4,0.29914531111717224,0.5470085740089417,0.632478654384613,0.7264957427978516,0.811965823173523,0.8034188151359558,0.8888888955116272,0.8974359035491943,0.9658119678497314,0.94017094373703,0.9658119678497314,0.9487179517745972,0.9572649598121643,0.9829059839248657,0.9572649598121643,0.9658119678497314,0.9914529919624329,0.9743589758872986,0.9572649598121643,0.9658119678497314,
accuracy_5,0.2649572789669037,0.5555555820465088,0.6752136945724487,0.7264957427978516,0.8290598392486572,0.8547008633613586,0.8376068472862244,0.9059829115867615,0.9059829115867615,0.9059829115867615,0.9572649598121643,0.9572649598121643,0.9487179517745972,0.9487179517745972,0.94017094373703,0.9829059839248657,0.9829059839248657,0.9829059839248657,0.9743589758872986,0.9572649598121643,
average,0.28946360647678376,0.5787061810493469,0.6661803841590881,0.7397141337394715,0.8116416215896607,0.8408046007156372,0.8681402921676635,0.902387273311615,0.9177718877792358,0.9143825531005859,0.945195996761322,0.9435160636901856,0.945225465297699,0.9589006781578064,0.9571765422821045,0.9725906252861023,0.9811523675918579,0.9811671137809753,0.9692160367965699,0.9726201057434082,
std,0.0338416126861838,0.04593799138907438,0.031205570748617868,0.016025502469123352,0.060197734241598196,0.022380211521051872,0.025749268838698918,0.011677039553566049,0.024684467750131105,0.017096556762875647,0.014939097071472222,0.02784372054784291,0.012723732660165245,0.014714129630795079,0.014355711449542235,0.00842314267422765,0.006443696107922997,0.006388386371565985,0.01276640231203873,0.009937244181022297,

val_accuracy_1,0.5666666626930237,0.6000000238418579,0.6333333253860474,0.8999999761581421,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9666666388511658,0.9666666388511658,0.9333333373069763,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.9666666388511658,
val_accuracy_2,0.5862069129943848,0.6551724076271057,0.6551724076271057,0.6551724076271057,0.6896551847457886,0.8620689511299133,0.931034505367279,0.8965517282485962,0.8965517282485962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
val_accuracy_3,0.5862069129943848,0.7586206793785095,0.7931034564971924,0.8275862336158752,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,
val_accuracy_4,0.4482758641242981,0.7586206793785095,0.7241379022598267,0.7931034564971924,0.8965517282485962,0.931034505367279,0.9655172228813171,1.0,1.0,1.0,0.9655172228813171,0.9655172228813171,1.0,1.0,1.0,1.0,0.9655172228813171,1.0,0.9655172228813171,0.9655172228813171,
val_accuracy_5,0.5862069129943848,0.5517241358757019,0.7931034564971924,0.8965517282485962,0.7931034564971924,0.931034505367279,0.9655172228813171,0.9655172228813171,0.9655172228813171,0.9655172228813171,1.0,1.0,0.9655172228813171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
average,0.5547126531600952,0.6648275852203369,0.7197701096534729,0.8144827604293823,0.8556321859359741,0.924597704410553,0.9521839022636414,0.9521839022636414,0.9588505625724792,0.97954021692276,0.9728735566139222,0.97954021692276,0.97954021692276,0.9864367723464966,0.9864367723464966,0.9864367723464966,0.97954021692276,0.9864367723464966,0.97954021692276,0.97954021692276,
std,0.05375379728297036,0.08328567037110211,0.06696091085467017,0.08950650682611888,0.10123715339859027,0.03389226482229951,0.016346088855420562,0.03490620765693745,0.03383607756953276,0.016710614490637668,0.025073284971732245,0.016710614490637668,0.016710614490637668,0.016615469667701666,0.016615469667701666,0.016615469667701666,0.016710614490637668,0.016615469667701666,0.016710614490637668,0.016710614490637668,

